path,branch,head,upstream,ahead,behind,dirty_staged,dirty_unstaged,dirty_untracked,detached,head_in_alpha,alpha_in_head,port_extract_staged,classification_hint
"umtuba-web-profile-identity-strip-v1","office/profile-identity-strip-v1",f574eba902ee424d944bf85d913fad80108dc83b,"origin/office/profile-identity-strip-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-loading-states-v1","office/profile-loading-states-v1",34cd4fd713e255dca31b21fde0d965c1361cb55f,"origin/office/profile-loading-states-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-profile-tab-overflow-fade-v1","office/profile-tab-overflow-fade-v1",851a1d751847b253be77f76357394c4882a9cecd,"origin/office/profile-tab-overflow-fade-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-revenue-platform-foundation-v1","office/unified-revenue-platform-foundation-v1",a1bde1f598d1c1a28515f7e61ad426f6ed7c800c,"origin/office/unified-revenue-platform-foundation-v1",0,0,0,0,0,False,YES,NO,NO,
"umtuba-web-shared-ai-surface-integration-v1","(detached)",db6f52a8bd54e22ef33ca19b0a072cea5f3846e1,"",,,28,0,0,True,NO,NO,NO,
"umtuba-web-shared-ai-surface-integration-v1-clean","(detached)",db6f52a8bd54e22ef33ca19b0a072cea5f3846e1,"",,,28,0,0,True,NO,NO,NO,
"umtuba-web-shared-ai-surface-integration-v1-final","(detached)",b0655bb7b699daa0c40e518fbbadc7397d2f10e4,"",,,0,0,0,True,NO,NO,NO,
"umtuba-web-translation-intelligence-foundation-v1","office/platform-translation-intelligence-foundation-v1",7296ac3c427b4f5da871952de3227585c5962720,"origin/office/platform-translation-intelligence-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-translation-learning-foundation-v1","office/platform-translation-learning-foundation-v1",6a3cb3d52fa567e27bed32cfccfe1d26123e3cfc,"origin/office/platform-translation-learning-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-translation-studio-app-shell-ingestion-v1","office/platform-translation-studio-app-shell-ingestion-v1",e12cd6d48e86726cabffb4883a39be50e8916a9d,"origin/office/platform-translation-studio-app-shell-ingestion-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-translation-studio-foundation-v1","office/platform-translation-studio-foundation-v1",aced43c844d93e0bae6cbb6a53cae25698c3cdad,"origin/office/platform-translation-studio-foundation-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web-translation-studio-persistence-workflow-v1","office/platform-translation-studio-persistence-workflow-v1",189ec08d049d7b4ba0e3a037aad435a8ebfc3cc5,"origin/office/platform-translation-studio-persistence-workflow-v1",0,0,0,0,0,False,NO,NO,NO,
"umtuba-web/worktrees/DESKTOP-A2","office/commerce-buyer-cart-wishlist-search-a11y-ui-contract-v1",9227cc3bd6fc293561f60e87b3d6af204c640947,"",,,0,5,1,False,NO,NO,NO,
"worktrees/DESKTOP-A1","office/desktop-a1-jinn-video-pilot-ingest-precheck-automation-v1",d4beda578999a290f364ecc9c8773b5790db3bef,"origin/office/desktop-a1-jinn-video-pilot-ingest-precheck-automation-v1",0,0,0,0,0,False,NO,NO,NO,
"worktrees/DESKTOP-A1-AI-SHARED-CORE-VALIDATION-V1","office/desktop-a1-ai-shared-core-branch-validation-v1",540494ab30bfcb6e33ae42c1859d187f293cee80,"",,,0,0,0,False,YES,NO,NO,
"worktrees/DESKTOP-A2","office/desktop-a2-games-hub-safe-components-v1",ee457c44fde57ca401e618773e2ffb67eefa4c27,"origin/office/desktop-a2-games-hub-safe-components-v1",0,0,0,0,0,False,YES,NO,NO,
"worktrees/DESKTOP-A2-REGRESSION","office/desktop-a2-stripe-test-fixture-pack-regression-v1",df4766803cb28af541ca6af13301e8faeb51db44,"origin/office/desktop-a2-stripe-test-fixture-pack-regression-v1",0,0,0,0,0,False,NO,NO,NO,
"worktrees/DESKTOP-A3","office/desktop-a3-commerce-seller-ops-filter-status-a11y-contract-v1",9227cc3bd6fc293561f60e87b3d6af204c640947,"",,,0,8,1,False,NO,NO,NO,
"worktrees/DESKTOP-GAMES-PAGE-COMPOSITION-V1","office/desktop-games-page-composition-implementation-v1",b07ada08710eb1221cde7bae5976d9bf563eacd0,"origin/office/desktop-games-page-composition-implementation-v1",0,0,0,0,0,False,NO,YES,NO,
