"path","exists","head","branch","detached","commonGit","dirty","staged","unstaged","untracked","upstream","ahead","behind","lastSubject","lastDate","headIsAncestorOfAlpha","alphaIsAncestorOfHead"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-completion-audit-v1","True","ca157d716348ba107f546e453602eae7c48ec989","office/commerce-completion-audit-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-marketplace-supplier-listing-create-hardening-v1","0","1","feat(commerce): harden supplier listing creation","2026-07-31 20:59:30 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-digital-entitlement-revoke-on-refund-v1","True","306a023c0aee59437b001c849b464c67f7491dc7","office/commerce-digital-entitlement-revoke-on-refund-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-digital-entitlement-revoke-on-refund-v1","0","0","feat(commerce): revoke digital entitlements after refund v1","2026-08-01 10:00:02 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-digital-entitlement-revoke-on-refund-v1-current","True","0ccdb6354e1e6ea2b23c8414643ebb6a1dbed282","office/commerce-digital-entitlement-revoke-on-refund-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-digital-entitlement-revoke-on-refund-v1-current","0","0","feat(commerce): revoke digital entitlements after refund v1","2026-08-02 11:59:30 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-live-payment-production-gate-v1","True","f376d5e7a7f532b7a23ca8775e9e45c1cb7df40e","office/commerce-live-payment-production-gate-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-live-payment-production-gate-v1","0","0","feat(commerce): add live payment production gate v1","2026-07-31 21:54:13 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-live-payment-production-gate-v1-current","True","05e0043080f82779a3d97b810303b8c0e804d14a","office/commerce-live-payment-production-gate-v1-current","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-live-payment-production-gate-v1-current","0","0","feat(commerce): add live payment production gate v1","2026-08-02 11:19:38 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-marketplace-foundation-v1","True","6fac4409f217b6e7d28b2ff4c0a2dab453f45427","office/commerce-marketplace-foundation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","feat(web): balance home stage and aside assembly v1","2026-07-29 16:48:49 +0300","YES","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-migration-history-drift-verification-v1","True","904c8bbfefe6467dcb2cae8252ac8c6054f302ed","office/commerce-migration-history-drift-verification-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-migration-history-drift-verification-v1","0","0","docs(commerce): verify migration history drift v1","2026-08-02 16:47:01 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-migration-history-repair-apply-v1","True","9fb7a05bad84f7b100de39c47bb96a6dd97c9fb1","office/commerce-migration-history-repair-apply-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-migration-history-repair-apply-v1","0","0","ops(commerce): repair migration history for 20260822 and 20260823","2026-08-02 17:49:31 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-committed-reservation-compensation-v1","True","b8be33469f35c5ccb394925d666a5812f4c70c70","office/commerce-partial-refund-committed-reservation-compensation-v1","False","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","origin/office/commerce-partial-refund-committed-reservation-compensation-v1","0","0","feat(commerce): add committed partial refund compensation v1","2026-08-07 14:34:25 +0300","NO","NO"
"C:/Users/1/Desktop/umtuba/umtuba-web-commerce-partial-refund-in-flight-committing-visibility-v1","True","556f82a7499d15174016bfca4357882b649744a2","(detached)","True","C:/Users/1/Desktop/umtuba/umtuba-web/.git","False","0","0","0","","","","docs(commerce): close 20260905 committing visibility apply handoff","2026-08-07 11:52:12 +0300","NO","NO"
